date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:30:37	323256/323256	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20May%202025%2016:00:37%20GMT	https://inno-ai-labs.b12sites.com/index	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/index.html	(from )
21:30:38	106/106	---M--	200	added ('OK')	text/plain	date:Tue,%2020%20May%202025%2016:00:38%20GMT	https://inno-ai-labs.b12sites.com/robots.txt		(from )
21:30:39	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2020%20May%202025%2016:00:39%20GMT	http://inno-ai-labs.b12sites.com/assets/fonts/poppins-devanagari-normal-400.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/poppins-devanagari-normal-400.2.delayed	(from https://inno-ai-labs.b12sites.com/index)
21:30:39	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-1538f%22	https://code.jquery.com/jquery-3.3.1.min.js	C:/My%20Web%20Sites/Innoailabs/code.jquery.com/jquery-3.3.1.min.js	(from https://inno-ai-labs.b12sites.com/index)
21:30:40	323256/323256	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20May%202025%2016:00:39%20GMT	https://inno-ai-labs.b12sites.com/	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/index-2.html	(from https://inno-ai-labs.b12sites.com/index)
21:30:41	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2020%20May%202025%2016:00:40%20GMT	http://inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-ext-normal-400.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-ext-normal-400.woff2	(from https://inno-ai-labs.b12sites.com/index)
21:30:41	39504/39504	---M--	200	added ('OK')	font/woff2	date:Tue,%2020%20May%202025%2016:00:40%20GMT	https://inno-ai-labs.b12sites.com/assets/fonts/poppins-devanagari-normal-400.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/poppins-devanagari-normal-400.woff2	(from https://inno-ai-labs.b12sites.com/index)
21:30:42	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2020%20May%202025%2016:00:42%20GMT	http://inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-normal-400.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-normal-400.woff2	(from https://inno-ai-labs.b12sites.com/index)
21:30:43	5640/5640	---M--	200	added ('OK')	font/woff2	date:Tue,%2020%20May%202025%2016:00:42%20GMT	https://inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-ext-normal-400.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-ext-normal-400.woff2	(from https://inno-ai-labs.b12sites.com/index)
21:30:44	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2020%20May%202025%2016:00:44%20GMT	http://inno-ai-labs.b12sites.com/assets/fonts/poppins-devanagari-normal-500.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/poppins-devanagari-normal-500.woff2	(from https://inno-ai-labs.b12sites.com/index)
21:30:44	7900/7900	---M--	200	added ('OK')	font/woff2	date:Tue,%2020%20May%202025%2016:00:43%20GMT	https://inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-normal-400.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-normal-400.woff2	(from https://inno-ai-labs.b12sites.com/index)
21:30:45	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2020%20May%202025%2016:00:45%20GMT	http://inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-ext-normal-500.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-ext-normal-500.woff2	(from https://inno-ai-labs.b12sites.com/index)
21:30:45	39160/39160	---M--	200	added ('OK')	font/woff2	date:Tue,%2020%20May%202025%2016:00:45%20GMT	https://inno-ai-labs.b12sites.com/assets/fonts/poppins-devanagari-normal-500.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/poppins-devanagari-normal-500.woff2	(from https://inno-ai-labs.b12sites.com/index)
21:30:46	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2020%20May%202025%2016:00:46%20GMT	http://inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-normal-500.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-normal-500.woff2	(from https://inno-ai-labs.b12sites.com/index)
21:30:46	5496/5496	---M--	200	added ('OK')	font/woff2	date:Tue,%2020%20May%202025%2016:00:46%20GMT	https://inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-ext-normal-500.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-ext-normal-500.woff2	(from https://inno-ai-labs.b12sites.com/index)
21:30:47	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2020%20May%202025%2016:00:47%20GMT	http://inno-ai-labs.b12sites.com/assets/fonts/poppins-devanagari-normal-600.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/poppins-devanagari-normal-600.woff2	(from https://inno-ai-labs.b12sites.com/index)
21:30:47	7740/7740	---M--	200	added ('OK')	font/woff2	date:Tue,%2020%20May%202025%2016:00:47%20GMT	https://inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-normal-500.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-normal-500.woff2	(from https://inno-ai-labs.b12sites.com/index)
21:30:49	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2020%20May%202025%2016:00:49%20GMT	http://inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-ext-normal-600.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-ext-normal-600.woff2	(from https://inno-ai-labs.b12sites.com/index)
21:30:49	39384/39384	---M--	200	added ('OK')	font/woff2	date:Tue,%2020%20May%202025%2016:00:48%20GMT	https://inno-ai-labs.b12sites.com/assets/fonts/poppins-devanagari-normal-600.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/poppins-devanagari-normal-600.woff2	(from https://inno-ai-labs.b12sites.com/index)
21:30:50	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2020%20May%202025%2016:00:50%20GMT	http://inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-normal-600.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-normal-600.woff2	(from https://inno-ai-labs.b12sites.com/index)
21:30:50	5552/5552	---M--	200	added ('OK')	font/woff2	date:Tue,%2020%20May%202025%2016:00:50%20GMT	https://inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-ext-normal-600.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-ext-normal-600.woff2	(from https://inno-ai-labs.b12sites.com/index)
21:30:51	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2020%20May%202025%2016:00:51%20GMT	http://inno-ai-labs.b12sites.com/assets/fonts/poppins-devanagari-normal-700.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/poppins-devanagari-normal-700.woff2	(from https://inno-ai-labs.b12sites.com/index)
21:30:51	7992/7992	---M--	200	added ('OK')	font/woff2	date:Tue,%2020%20May%202025%2016:00:51%20GMT	https://inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-normal-600.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-normal-600.woff2	(from https://inno-ai-labs.b12sites.com/index)
21:30:52	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2020%20May%202025%2016:00:52%20GMT	http://inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-ext-normal-700.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-ext-normal-700.woff2	(from https://inno-ai-labs.b12sites.com/index)
21:30:53	39204/39204	---M--	200	added ('OK')	font/woff2	date:Tue,%2020%20May%202025%2016:00:52%20GMT	https://inno-ai-labs.b12sites.com/assets/fonts/poppins-devanagari-normal-700.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/poppins-devanagari-normal-700.woff2	(from https://inno-ai-labs.b12sites.com/index)
21:30:54	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2020%20May%202025%2016:00:54%20GMT	http://inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-normal-700.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-normal-700.woff2	(from https://inno-ai-labs.b12sites.com/index)
21:30:54	5448/5448	---M--	200	added ('OK')	font/woff2	date:Tue,%2020%20May%202025%2016:00:53%20GMT	https://inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-ext-normal-700.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-ext-normal-700.woff2	(from https://inno-ai-labs.b12sites.com/index)
21:30:55	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2020%20May%202025%2016:00:55%20GMT	http://inno-ai-labs.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	(from https://inno-ai-labs.b12sites.com/index)
21:30:55	7848/7848	---M--	200	added ('OK')	font/woff2	date:Tue,%2020%20May%202025%2016:00:55%20GMT	https://inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-normal-700.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/poppins-latin-normal-700.woff2	(from https://inno-ai-labs.b12sites.com/index)
21:30:56	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2020%20May%202025%2016:00:56%20GMT	http://inno-ai-labs.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot?	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713d41d.eot	(from https://inno-ai-labs.b12sites.com/index)
21:30:57	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2020%20May%202025%2016:00:56%20GMT	https://inno-ai-labs.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	(from https://inno-ai-labs.b12sites.com/index)
21:30:58	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2020%20May%202025%2016:00:57%20GMT	http://inno-ai-labs.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff2	(from https://inno-ai-labs.b12sites.com/index)
21:30:58	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2020%20May%202025%2016:00:57%20GMT	https://inno-ai-labs.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot?	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713d41d.eot	(from https://inno-ai-labs.b12sites.com/index)
21:30:59	979/979	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2020%20May%202025%2016:00:59%20GMT	https://inno-ai-labs.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff2	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.1f.delayed	(from https://inno-ai-labs.b12sites.com/index)
21:31:00	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2020%20May%202025%2016:00:59%20GMT	http://inno-ai-labs.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	C:/My%20Web%20Sites/Innoailabs/inno-ai-labs.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	(from https://inno-ai-labs.b12sites.com/index)
